month,행정동코드,행정동명,월평균_총생활인구수
2025-01,11110515,청운효자동,14694.800074462366
2025-01,11110530,사직동,23585.562924865593
2025-01,11110540,삼청동,5311.611030376344
2025-01,11110550,부암동,11593.528008333333
2025-01,11110560,평창동,17272.243622311827
2025-01,11110570,무악동,5353.441153629032
2025-01,11110580,교남동,8298.087965860215
2025-01,11110600,가회동,5535.178307392473
2025-01,11110615,종로1?2?3?4가동,57264.81810295699
2025-01,11110630,종로5?6가동,12202.428162903225
2025-01,11110640,이화동,25330.05941854839
2025-01,11110650,혜화동,26325.49422701613
2025-01,11110670,창신1동,7146.752897311828
2025-01,11110680,창신2동,8048.636559543011
2025-01,11110690,창신3동,4892.145381048387
2025-01,11110700,숭인1동,8202.24644435484
2025-01,11110710,숭인2동,12270.646107392473
2025-01,11140520,소공동,24240.383059005377
2025-01,11140540,회현동,24886.40778924731
2025-01,11140550,명동,36246.285656048385
2025-01,11140570,필동,11799.262212903226
2025-01,11140580,장충동,10176.821395026882
2025-01,11140590,광희동,22097.613157930107
2025-01,11140605,을지로동,14379.023228360214
2025-01,11140615,신당동,18322.308146505376
2025-01,11140625,다산동,15097.355139650537
2025-01,11140635,약수동,13461.283839247311
2025-01,11140645,청구동,10060.812733467743
2025-01,11140650,신당5동,6862.068605913978
2025-01,11140665,동화동,12385.287076881721
2025-01,11140670,황학동,12279.421787231182
2025-01,11140680,중림동,8031.015182661291
2025-01,11170510,후암동,12563.030220967743
2025-01,11170520,용산2가동,11951.38202002688
2025-01,11170530,남영동,15783.815397715054
2025-01,11170555,청파동,20944.610209946237
2025-01,11170560,원효로1동,18621.38732795699
2025-01,11170570,원효로2동,14030.812223387096
2025-01,11170580,효창동,9260.150472311827
2025-01,11170590,용문동,7885.373564381721
2025-01,11170625,한강로동,49680.000349327966
2025-01,11170630,이촌1동,24195.395299731183
2025-01,11170640,이촌2동,7439.548512634408
2025-01,11170650,이태원1동,11105.452620295699
2025-01,11170660,이태원2동,10516.032220026882
2025-01,11170685,한남동,29203.197900672043
2025-01,11170690,서빙고동,13628.154288844085
2025-01,11170700,보광동,7420.341593951613
2025-01,11200520,왕십리2동,14356.973252553764
2025-01,11200535,왕십리도선동,28341.40677419355
2025-01,11200540,마장동,19139.813107392474
2025-01,11200550,사근동,19630.096746505376
2025-01,11200560,행당1동,28395.481502553765
2025-01,11200570,행당2동,18499.06002016129
2025-01,11200580,응봉동,10021.694684274193
2025-01,11200590,금호1가동,13874.109413844086
2025-01,11200615,금호2?3가동,19804.935765188173
2025-01,11200620,금호4가동,11712.733910887096
2025-01,11200645,옥수동,26080.468394892476
2025-01,11200650,성수1가1동,17768.851156317203
2025-01,11200660,성수1가2동,19400.551888172045
2025-01,11200670,성수2가1동,19301.18063561828
2025-01,11200690,성수2가3동,32723.654450806454
2025-01,11200720,송정동,9524.88608736559
2025-01,11200790,용답동,17332.04930967742
2025-01,11215710,화양동,35861.27086451613
2025-01,11215730,군자동,22033.74092580645
2025-01,11215740,중곡1동,14545.07788548387
2025-01,11215750,중곡2동,17839.787588844087
2025-01,11215760,중곡3동,14787.705626881721
2025-01,11215770,중곡4동,23845.528587499997
2025-01,11215780,능동,14088.30361048387
2025-01,11215810,광장동,34478.28133024194
2025-01,11215820,자양1동,24038.117531989246
2025-01,11215830,자양2동,21169.180701478494
2025-01,11215840,자양3동,25407.54175766129
2025-01,11215847,자양4동,24621.959463440857
2025-01,11215850,구의1동,21437.918862634408
2025-01,11215860,구의2동,19204.75507392473
2025-01,11215870,구의3동,27699.26751747312
2025-01,11230536,용신동,39851.25118696236
2025-01,11230545,제기동,29632.26212177419
2025-01,11230560,전농1동,35040.07499368279
2025-01,11230570,전농2동,13814.386704435485
2025-01,11230600,답십리1동,22915.4309452957
2025-01,11230610,답십리2동,20929.129701612903
2025-01,11230650,장안1동,34437.53486115592
2025-01,11230660,장안2동,28965.601256048387
2025-01,11230705,청량리동,18953.630906048387
2025-01,11230710,회기동,15188.679235752687
2025-01,11230720,휘경1동,15252.13976841398
2025-01,11230730,휘경2동,16716.38814247312
2025-01,11230740,이문1동,19603.86771129032
2025-01,11230750,이문2동,12990.088288575269
2025-01,11260520,면목2동,19078.041187768817
2025-01,11260540,면목4동,14984.025323655915
2025-01,11260550,면목5동,12144.70242204301
2025-01,11260565,면목본동,27540.383336155915
2025-01,11260570,면목7동,16029.107732526883
2025-01,11260575,면목3?8동,19515.469191129032
2025-01,11260580,상봉1동,16149.10460954301
2025-01,11260590,상봉2동,25144.244193682796
2025-01,11260600,중화1동,16230.28256626344
2025-01,11260610,중화2동,24905.431356048386
2025-01,11260620,묵1동,25488.534985752685
2025-01,11260630,묵2동,17900.698048655915
2025-01,11260655,망우본동,41257.89756303763
2025-01,11260660,망우3동,10509.854562768818
2025-01,11260680,신내1동,34280.16496586022
2025-01,11260690,신내2동,15126.050781182794
2025-01,11290525,성북동,19346.530009139784
2025-01,11290555,삼선동,24655.57402701613
2025-01,11290575,동선동,22571.08564233871
2025-01,11290580,돈암1동,10591.802149462366
2025-01,11290590,돈암2동,13699.367560215054
2025-01,11290600,안암동,20778.307911962365
2025-01,11290610,보문동,15236.600367741934
2025-01,11290620,정릉1동,12899.568292741937
2025-01,11290630,정릉2동,18966.424683467743
2025-01,11290640,정릉3동,12546.892400134408
2025-01,11290650,정릉4동,18867.989695833334
2025-01,11290660,길음1동,35733.644994220434
2025-01,11290685,길음2동,19228.386345295698
2025-01,11290705,종암동,37299.616891666665
2025-01,11290715,월곡1동,28405.045110349463
2025-01,11290725,월곡2동,21726.246376747313
2025-01,11290760,장위1동,21020.01669153226
2025-01,11290770,장위2동,10388.7451952957
2025-01,11290780,장위3동,7997.901290725807
2025-01,11290810,석관동,26901.17199341398
2025-01,11305534,삼양동,22971.334392876342
2025-01,11305535,미아동,21434.336746639783
2025-01,11305545,송중동,34179.84113763441
2025-01,11305555,송천동,24052.672577553763
2025-01,11305575,삼각산동,19233.102565994624
2025-01,11305645,우이동,17158.96895873656
2025-01,11305660,인수동,26917.865582795697
2025-01,11320511,창1동,20140.066332258062
2025-01,11320512,창2동,32862.425419892475
2025-01,11320513,창3동,10732.541724193548
2025-01,11320514,창4동,28121.52796303763
2025-01,11320515,창5동,17345.583948387095
2025-01,11320521,도봉1동,17458.9049047043
2025-01,11320522,도봉2동,19118.43898212366
2025-01,11320660,쌍문1동,14933.257037903224
2025-01,11320670,쌍문2동,17147.604753494623
2025-01,11320680,쌍문3동,15797.721546908602
2025-01,11320681,쌍문4동,11683.178604166667
2025-01,11320690,방학1동,24109.972630241937
2025-01,11320700,방학2동,10336.535259005375
2025-01,11320710,방학3동,20576.99728252688
2025-01,11350560,월계1동,19144.825210215055
2025-01,11350570,월계2동,17797.852717204303
2025-01,11350580,월계3동,23448.198104973115
2025-01,11350595,공릉1동,38719.60616801075
2025-01,11350600,공릉2동,43375.30299784946
2025-01,11350611,하계1동,23639.859569892473
2025-01,11350612,하계2동,15109.72556532258
2025-01,11350619,중계본동,19455.252021505377
2025-01,11350621,중계1동,25266.04941706989
2025-01,11350624,중계4동,15269.236154569891
2025-01,11350625,중계2?3동,29619.979017876343
2025-01,11350630,상계1동,33833.25345497312
2025-01,11350640,상계2동,28351.365291801078
2025-01,11350665,상계3?4동,21234.498575134407
2025-01,11350670,상계5동,15918.331930241935
2025-01,11350695,상계6?7동,44527.904038844084
2025-01,11350700,상계8동,18219.87046182796
2025-01,11350710,상계9동,16425.07244032258
2025-01,11350720,상계10동,12645.673335215055
2025-01,11380510,녹번동,30842.55328104839
2025-01,11380520,불광1동,27625.9901844086
2025-01,11380530,불광2동,20260.90309260753
2025-01,11380551,갈현1동,17098.181326612903
2025-01,11380552,갈현2동,21190.877285080645
2025-01,11380560,구산동,25864.991464784944
2025-01,11380570,대조동,57196.551271639786
2025-01,11380580,응암1동,22541.7123858871
2025-01,11380590,응암2동,16266.537159274194
2025-01,11380600,응암3동,23551.78184005376
2025-01,11380625,역촌동,40011.373549731186
2025-01,11380631,신사1동,23107.518264112903
2025-01,11380632,신사2동,14020.02189422043
2025-01,11380640,증산동,13134.580801612903
2025-01,11380650,수색동,16097.265831182796
2025-01,11380690,진관동,55293.06460887096
2025-01,11410520,천연동,13809.792425537635
2025-01,11410555,북아현동,45918.23890336021
2025-01,11410565,충현동,39917.88483965054
2025-01,11410585,신촌동,47945.02798346774
2025-01,11410615,연희동,36351.61641962366
2025-01,11410620,홍제1동,24501.77277311828
2025-01,11410640,홍제3동,14710.452826478493
2025-01,11410655,홍제2동,9287.1386625
2025-01,11410660,홍은1동,14102.89692123656
2025-01,11410685,홍은2동,21616.23437513441
2025-01,11410690,남가좌1동,9412.271403629033
2025-01,11410700,남가좌2동,20360.210110618278
2025-01,11410710,북가좌1동,13078.374318951614
2025-01,11410720,북가좌2동,28899.417820564515
2025-01,11440555,아현동,27391.773822446237
2025-01,11440565,공덕동,35261.2080594086
2025-01,11440585,도화동,17639.704305510753
2025-01,11440590,용강동,22895.173511155917
2025-01,11440600,대흥동,19070.983857258067
2025-01,11440610,염리동,17518.630795698926
2025-01,11440630,신수동,15943.240500940861
2025-01,11440655,서강동,24831.245723790325
2025-01,11440660,서교동,69218.45268373656
2025-01,11440680,합정동,19296.81584973118
2025-01,11440690,망원1동,19643.013203897848
2025-01,11440700,망원2동,15838.972470430106
2025-01,11440710,연남동,17645.814489784945
2025-01,11440720,성산1동,19549.86283346774
2025-01,11440730,성산2동,33386.34620591398
2025-01,11440740,상암동,46079.53427553764
2025-01,11470510,목1동,38045.431937903224
2025-01,11470520,목2동,22375.466430241937
2025-01,11470530,목3동,18598.955749327957
2025-01,11470540,목4동,17850.278956317205
2025-01,11470550,목5동,40946.98471505376
2025-01,11470560,신월1동,14546.056246370968
2025-01,11470570,신월2동,11655.742023655914
2025-01,11470580,신월3동,12930.259583602152
2025-01,11470590,신월4동,12180.272959274193
2025-01,11470600,신월5동,10692.729566666667
2025-01,11470610,신월6동,4503.49374811828
2025-01,11470611,신월7동,14712.825725403227
2025-01,11470620,신정1동,15315.184625
2025-01,11470630,신정2동,14485.536423655913
2025-01,11470640,신정3동,40018.76579126344
2025-01,11470650,신정4동,34864.26643319893
2025-01,11470670,신정6동,18551.711319489248
2025-01,11470680,신정7동,20946.007646774196
2025-01,11500510,염창동,29866.729513172046
2025-01,11500520,등촌1동,21407.955701612904
2025-01,11500530,등촌2동,14198.827390188171
2025-01,11500535,등촌3동,38581.067361424735
2025-01,11500540,화곡1동,47030.40954166667
2025-01,11500550,화곡2동,11801.30799798387
2025-01,11500560,화곡3동,18693.59674784946
2025-01,11500570,화곡4동,17662.057985080643
2025-01,11500590,화곡본동,27090.569931720427
2025-01,11500591,화곡6동,20979.04723293011
2025-01,11500593,화곡8동,37560.827217876344
2025-01,11500603,가양1동,43174.0123108871
2025-01,11500604,가양2동,15366.773247043011
2025-01,11500605,가양3동,11854.842313844087
2025-01,11500611,발산1동,32518.84590967742
2025-01,11500615,우장산동,33956.48905981183
2025-01,11500620,공항동,36473.181201478495
2025-01,11500630,방화1동,32465.205498118277
2025-01,11500640,방화2동,28558.894371774193
2025-01,11500641,방화3동,14020.326120967742
2025-01,11530510,신도림동,33262.85287405914
2025-01,11530520,구로1동,15209.395748790323
2025-01,11530530,구로2동,34365.010911021505
2025-01,11530540,구로3동,37682.628104301075
2025-01,11530550,구로4동,18184.58421330645
2025-01,11530560,구로5동,33000.02490053763
2025-01,11530595,가리봉동,10564.383385752688
2025-01,11530720,고척1동,24953.78297123656
2025-01,11530730,고척2동,15681.947484274195
2025-01,11530740,개봉1동,28822.59926357527
2025-01,11530750,개봉2동,24435.634820564515
2025-01,11530760,개봉3동,20599.101043010753
2025-01,11530770,오류1동,18783.917705376345
2025-01,11530780,오류2동,50282.42851290323
2025-01,11530790,수궁동,20647.0494625
2025-01,11545510,가산동,57801.185692876345
2025-01,11545610,독산1동,41159.014146370966
2025-01,11545620,독산2동,12815.578113306452
2025-01,11545630,독산3동,16616.711885080644
2025-01,11545640,독산4동,11582.772611021504
2025-01,11545670,시흥1동,26767.06948266129
2025-01,11545680,시흥2동,15277.923224731183
2025-01,11545690,시흥3동,8975.140016397849
2025-01,11545700,시흥4동,10452.767235215053
2025-01,11545710,시흥5동,11032.789450537635
2025-01,11560515,영등포본동,19325.601967473118
2025-01,11560535,영등포동,46488.599302822586
2025-01,11560540,여의동,91538.31755336022
2025-01,11560550,당산1동,24542.1883922043
2025-01,11560560,당산2동,37798.98349610215
2025-01,11560585,도림동,15441.671047983871
2025-01,11560605,문래동,38738.332864381715
2025-01,11560610,양평1동,19473.874015994625
2025-01,11560620,양평2동,24944.980874596775
2025-01,11560630,신길1동,18500.371257661292
2025-01,11560650,신길3동,13744.049706989248
2025-01,11560660,신길4동,6840.805113709677
2025-01,11560670,신길5동,9432.48117607527
2025-01,11560680,신길6동,20871.610470833333
2025-01,11560690,신길7동,16126.839548521504
2025-01,11560700,대림1동,15900.348463037635
2025-01,11560710,대림2동,17118.50885793011
2025-01,11560720,대림3동,22573.367591801074
2025-01,11590510,노량진1동,34232.347331586025
2025-01,11590520,노량진2동,15315.464478494625
2025-01,11590530,상도1동,41805.392846505376
2025-01,11590540,상도2동,19695.922417607526
2025-01,11590550,상도3동,16660.614261962364
2025-01,11590560,상도4동,20917.852633198923
2025-01,11590605,흑석동,29729.512802688176
2025-01,11590620,사당1동,23057.447815725805
