latitude,longitude,CCTV대수
37.5781,127.0858,1
37.5781,127.0858,1
37.5781,127.0858,1
37.5781,127.0858,1
37.5777,127.0866,1
37.5776,127.0869,1
37.5787,127.0863,1
37.5787,127.0863,1
37.5787,127.0863,1
37.5787,127.0863,1
37.5785,127.0867,1
37.5786,127.0871,1
37.5786,127.0871,1
37.5791,127.0879,1
37.5788,127.0882,1
37.5788,127.0882,1
37.5788,127.0882,1
37.5788,127.0882,1
37.5787,127.0895,1
37.5787,127.0895,1
37.5793,127.0896,1
37.5793,127.0896,1
37.5793,127.0896,1
37.5793,127.0896,1
37.5796,127.0892,1
37.5796,127.0892,1
37.5796,127.0892,1
37.5793,127.0878,1
37.5793,127.0878,1
37.5793,127.0878,1
37.5793,127.0878,1
37.5787,127.0903,1
37.5787,127.0903,1
37.5787,127.0903,1
37.58,127.0887,1
37.58,127.0887,1
37.58,127.0887,1
37.58,127.0887,1
37.5778,127.0877,1
37.5778,127.0877,1
37.5778,127.0877,1
37.5778,127.0877,1
37.5782,127.0892,1
37.5782,127.0892,1
37.5782,127.0892,1
37.5782,127.0892,1
37.5792,127.0907,1
37.5792,127.0907,1
37.5792,127.0907,1
37.5792,127.0907,1
37.5784,127.0916,1
37.5784,127.0916,1
37.5784,127.0916,1
37.5784,127.0916,1
37.578,127.0922,1
37.578,127.0922,1
37.578,127.0922,1
37.578,127.0922,1
37.5801,127.0908,1
37.5801,127.0908,1
37.5796,127.0899,1
37.5796,127.0899,1
37.5796,127.0899,1
37.5796,127.0899,1
37.5782,127.092,1
37.5782,127.092,1
37.5782,127.092,1
37.5782,127.092,1
37.58,127.0921,1
37.58,127.0921,1
37.58,127.0921,1
37.5788,127.0924,1
37.5788,127.0924,1
37.5788,127.0924,1
37.578,127.093,1
37.578,127.093,1
37.578,127.093,1
37.5786,127.0933,1
37.5786,127.0933,1
37.5786,127.0933,1
37.5786,127.0942,1
37.5786,127.0942,1
37.5786,127.0942,1
37.5795,127.0951,1
37.5795,127.0951,1
37.5795,127.0951,1
37.5795,127.0951,1
37.5769,127.0877,1
37.5769,127.0877,1
37.5769,127.0877,1
37.5777,127.0864,1
37.5777,127.0864,1
37.5768,127.0857,1
37.5768,127.0852,1
37.5768,127.0852,1
37.5768,127.0852,1
37.5775,127.085,1
37.577,127.0845,1
37.577,127.0845,1
37.5768,127.0846,1
37.577,127.0845,1
37.5772,127.0806,1
37.5772,127.0806,1
37.5764,127.0812,1
37.5764,127.0807,1
37.5764,127.0807,1
37.5764,127.0807,1
37.5769,127.0813,1
37.5769,127.0813,1
37.5769,127.0813,1
37.5769,127.0813,1
37.5782,127.0819,1
37.5782,127.0819,1
37.5782,127.0819,1
37.5782,127.0819,1
37.5775,127.0812,1
37.5775,127.0812,1
37.5775,127.0812,1
37.5775,127.0812,1
37.5778,127.0893,1
37.5773,127.0898,1
37.5773,127.0898,1
37.5773,127.0898,1
37.577,127.0898,1
37.577,127.0898,1
37.5769,127.09,1
37.577,127.0898,1
37.58,127.0836,1
37.58,127.0836,1
37.58,127.0836,1
37.58,127.0836,1
37.5776,127.0804,1
37.5776,127.0804,1
37.5776,127.0804,1
37.5776,127.0884,1
37.5776,127.0884,1
37.5789,127.0905,1
37.5789,127.0905,1
37.5789,127.0905,1
37.5795,127.0919,1
37.5795,127.0919,1
37.5795,127.0919,1
37.5804,127.0932,1
37.5804,127.0932,1
37.5804,127.0932,1
37.5804,127.0928,1
37.5804,127.0928,1
37.5804,127.0928,1
37.5804,127.0928,1
37.5787,127.0844,1
37.5801,127.0913,1
37.5852,127.0755,1
37.5855,127.075,1
37.5813,127.0833,1
37.5813,127.0833,1
37.5813,127.0833,1
37.5813,127.0833,1
37.5827,127.0777,1
37.5827,127.0777,1
37.5852,127.0755,1
37.5852,127.0755,1
37.5845,127.0761,1
37.5845,127.0761,1
