"범죄별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"범죄별(1)",계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상
"계",802639,61428,57951,58361,83199,94852,108553,118578,132955,86762,715361,41200,35710,47449,75532,88738,100589,113021,139304,73818,683886,50281,43886,44720,66567,76201,87466,99237,131564,83964,684678,52854,50139,49761,66258,75875,86041,94427,117700,91623,664914,47554,46323,46759,65844,73440,83102,89810,107733,104349
"절도",180067,11789,13672,12392,21358,26743,28648,25809,19263,20393,166782,9367,10612,12025,21467,26196,27547,24175,17914,17479,182720,10269,11687,13497,23545,28521,30893,26361,18898,19049,189942,11449,13151,15522,23345,28855,30835,25912,18606,22267,184155,10559,12690,13789,23151,27786,29686,24857,17155,24482
"살인",805,56,58,63,78,78,88,102,114,168,692,39,50,41,74,57,78,108,100,145,738,52,63,55,80,69,84,65,111,159,801,52,62,50,76,65,84,126,115,171,806,48,59,59,80,64,84,92,111,209
"강도",692,80,96,35,64,67,73,65,90,122,511,39,54,28,54,51,55,59,92,79,532,46,69,25,45,42,63,71,76,95,599,59,71,32,50,54,53,67,88,125,474,55,50,22,32,35,43,41,81,115
"방화",1210,131,131,65,101,120,125,179,223,135,1025,113,91,74,82,90,103,132,231,109,1224,120,125,90,110,116,120,186,231,126,1189,99,129,86,110,98,140,182,205,140,1011,81,99,71,86,85,110,139,197,143
"성폭력",30105,2820,2808,1726,2207,2479,3054,3704,4992,6315,32898,2435,2117,1554,2429,2917,3543,4297,5895,7711,41433,3255,2961,1999,2860,3424,4345,5158,6951,10480,38698,3223,3060,2201,2629,3268,4058,4551,5898,9810,36180,2452,2537,1759,2386,2666,3447,3933,4745,12255
"폭행",143600,16548,14030,8244,10865,11842,14248,20033,30765,17025,119515,9083,6338,5773,10044,11220,13144,19722,30865,13326,129278,12249,8845,6749,10599,11532,13374,19254,30454,16222,123153,12499,10053,7350,10413,10958,12767,17489,25431,16193,118779,11190,9340,6912,9925,10487,12316,16123,22774,19712
"상해",36022,3942,3361,2216,2980,2971,3533,4576,7027,5416,30862,2637,1859,1604,2544,2670,3265,4577,7190,4516,29254,2770,2130,1604,2322,2389,2886,3993,6619,4541,24800,2667,2108,1457,1865,1955,2419,3157,4846,4326,21230,2006,1783,1181,1584,1708,1982,2470,3681,4835
"협박",21814,1247,1030,1357,2326,2403,2841,3374,3376,3860,21502,1034,777,1180,2317,2471,2807,3407,3716,3793,21963,1323,981,1343,2248,2435,2709,3448,3699,3777,23346,1398,1138,1473,2271,2497,2868,3559,3692,4450,24558,1338,1059,1391,2222,2375,2813,3376,3476,6508
"공갈",5993,141,129,82,426,554,721,735,541,2664,5587,143,99,84,336,542,693,684,508,2498,7383,213,120,113,330,706,914,903,739,3345,8167,222,186,120,394,666,935,908,695,4041,6799,199,168,81,335,565,784,688,608,3371
"약취와유인",223,8,6,9,21,46,50,23,13,47,251,8,3,9,25,47,59,37,17,46,284,7,3,15,33,43,61,42,21,59,349,12,11,8,22,58,81,40,26,91,311,8,5,15,27,51,56,40,21,88
"체포와감금",1467,94,116,79,145,176,172,164,187,334,1401,96,80,89,123,124,164,181,224,320,1375,96,92,64,113,133,131,179,207,360,1247,78,97,82,94,127,153,152,157,307,1155,83,70,59,81,106,111,131,142,372
"폭력행위등(손괴·강요·주거침입등)",982,71,67,67,132,111,123,101,115,195,1209,101,67,62,111,130,136,145,183,274,1209,106,78,68,99,119,117,168,194,260,1427,114,91,83,115,134,145,164,199,382,1221,90,89,61,120,110,128,146,145,332
"폭력행위등(단체등의구성·활동)",140,17,9,3,10,8,6,13,12,62,133,3,8,4,7,8,11,10,8,74,124,8,4,2,4,8,6,9,11,72,132,9,7,3,11,5,6,10,13,68,148,9,8,6,4,5,4,3,11,98
"도박과복표",8068,150,94,62,472,415,699,846,759,4571,6321,164,48,45,291,332,500,1074,571,3296,4407,92,68,40,183,257,558,483,433,2293,5892,162,117,81,270,472,705,728,586,2771,8943,208,134,99,474,449,767,796,627,5389
"과실치사상",2883,108,79,190,410,416,537,381,316,446,2557,40,51,169,370,411,470,364,262,420,2682,66,45,150,403,421,507,388,272,430,2946,80,82,194,418,419,517,425,270,541,3078,57,58,166,330,407,429,368,222,1041
"업무상과실치사상",3604,42,93,289,862,671,573,271,124,679,3339,37,72,299,779,627,505,201,110,709,3616,41,68,327,804,644,556,223,97,856,4161,34,83,377,841,733,604,267,129,1093,4334,47,85,343,759,617,522,225,140,1596
"가정폭력범죄의처벌등에관한특례법",402,9,17,19,50,60,52,57,60,78,1088,53,35,80,125,134,142,203,192,124,1313,63,57,100,153,158,177,204,219,182,1437,77,67,120,154,151,195,248,213,212,1599,84,89,101,178,193,182,234,278,260
"경범죄처벌법",7702,949,806,456,488,578,640,1017,1536,1232,7100,661,514,324,450,578,742,1066,1624,1141,8398,953,721,434,507,631,780,1234,1773,1365,10098,1088,1006,567,595,724,897,1387,2031,1803,10375,1033,892,567,610,738,874,1502,2058,2101
"교통사고처리특례법",184990,4658,5580,19955,27960,32057,35848,36145,19064,3723,155625,2413,3445,16661,23799,28416,31344,30722,16500,2325,76210,1981,2618,8416,10699,12224,13935,15228,9383,1726,71186,2083,2806,8172,10094,11195,13004,13778,8310,1744,68155,1883,2724,8051,9834,10668,12415,13420,7581,1579
"도로교통법",13383,706,679,1307,2000,2174,2473,1792,1502,750,12071,481,418,1028,1808,2122,2338,1688,1487,701,12529,597,553,1140,1941,2116,2283,1684,1409,806,11203,516,594,1064,1575,1824,1970,1510,1217,933,11007,457,574,1078,1589,1808,1969,1424,1149,959
"도로교통법(무면허운전)",21368,856,938,1585,3863,3856,4535,2597,2511,627,18482,729,680,1323,3383,3332,3971,2224,2348,492,18636,755,754,1353,3422,3473,3806,2286,2239,548,20377,887,904,1626,3617,3480,4185,2698,2299,681,25638,868,896,1816,4889,4798,5755,3209,2606,801
"도로교통법(사고후미조치)",11717,970,986,1238,1156,1238,1596,1956,1891,686,8982,546,530,860,928,1058,1292,1590,1723,455,7937,640,630,765,780,847,981,1282,1541,471,7441,707,730,763,699,747,875,1111,1297,512,7034,603,667,822,667,743,911,1033,1124,464
"도로교통법(음주운전)",95569,14197,11640,5532,2768,2986,4194,10728,33842,9682,91055,9706,6779,2951,1997,2679,4488,12406,42669,7380,100321,12937,9881,5008,2905,3011,4329,11945,40651,9654,101662,13482,11543,6652,3796,3933,4405,11649,36924,9278,97361,12498,10712,6722,4121,3964,4138,11749,34592,8865
"도로교통법(음주측정거부)",2926,502,403,120,81,87,193,346,859,335,3243,415,260,80,83,110,217,496,1211,371,3923,581,392,144,102,123,273,517,1302,489,3491,604,451,177,127,116,192,384,970,470,3108,540,399,154,94,126,206,350,854,385
"마약류관리에관한법률(대마)",1790,58,60,33,142,160,242,201,252,642,1682,55,45,27,125,143,194,291,223,579,1984,66,60,45,188,188,245,276,261,655,2178,92,82,72,184,189,284,276,250,749,1741,73,52,70,141,164,177,214,329,521
"마약류관리에관한법률(마약)",1899,9,8,19,396,463,504,64,14,422,1338,3,1,20,257,307,258,63,22,407,2086,4,9,32,362,441,442,99,28,669,3764,14,12,77,614,675,673,194,44,1461,1971,17,24,60,363,402,378,104,30,593
"마약류관리에관한법률(향정)",6916,292,195,177,537,525,547,726,639,3278,6039,266,219,186,472,474,483,652,662,2625,7752,303,275,232,631,608,663,991,1071,2978,11169,512,838,357,797,891,940,1163,1187,4484,9484,429,400,294,661,803,802,931,994,4170
"성매매알선등행위의처벌에관한법률",3511,205,127,32,128,354,552,644,806,663,3221,132,101,29,105,261,501,448,706,938,3750,186,83,24,117,345,694,686,742,873,3343,131,92,31,123,314,585,531,511,1025,3188,129,110,38,94,355,549,491,543,879
"아동·청소년의성보호에관한법률(성매수등)",286,18,9,7,21,16,23,46,32,114,338,18,9,7,13,26,49,51,29,136,326,20,13,9,15,34,34,46,41,114,485,28,29,11,23,47,67,75,48,157,668,33,20,9,37,39,81,103,68,278
"아동·청소년의성보호에관한법률(성착취물등)",2684,87,59,45,234,120,187,129,228,1595,1672,43,26,30,114,97,85,95,117,1065,1669,44,34,41,126,124,127,136,118,919,1712,50,36,21,117,163,115,127,120,963,2394,57,36,57,103,109,114,137,137,1644
"특가법(도주차량)",9821,668,665,957,918,1078,1476,1754,1802,503,8840,340,322,803,820,1108,1405,1853,1905,284,8830,438,467,836,841,1019,1373,1692,1773,391,8283,426,503,932,819,1062,1284,1559,1323,375,8009,420,494,906,867,1014,1269,1481,1254,304
