개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3220000,3220000-102-2000-21430,2000-03-18,,1,영업/정상,1,영업,,,,,,473.85,135-917,서울특별시 강남구 역삼동 688-6 지하1층,"서울특별시 강남구 언주로 548, 지하1층 (역삼동)",6144,오스카,2025-03-04 12:55,U,06:00.0,룸살롱,203516.5912,444995.0189,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2001-23481,2001-05-12,,1,영업/정상,1,영업,,,,,02 567 7488,1233.83,135-839,서울특별시 강남구 대치동 890-38 지하1층,"서울특별시 강남구 테헤란로70길 16 (대치동,지하1층)",6193,엘리트(ELITE),2025-05-07 17:51,U,09:00.0,룸살롱,204647.4212,444687.5061,,,,,,,,,,,,,,,,,,,
3230000,3230000-102-2014-00005,2014-11-28,,1,영업/정상,1,영업,,,,,,99.76,138-805,서울특별시 송파구 가락동 99-1 지하1층,"서울특별시 송파구 송파대로28길 12, 지하1층 (가락동)",5719,루키,2025-03-10 9:30,U,02:00.0,룸살롱,210491.6889,443508.2212,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2025-00001,2025-06-20,,1,영업/정상,1,영업,,,,,,139.67,157-210,서울특별시 강서구 마곡동 795-6 뉴골든타워 8층 801호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 8층 801호 (마곡동)",7803,블루문,2025-07-02 10:03,U,04:00.0,고고(디스코)클럽,185554.2994,450891.3124,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2015-00004,2015-10-22,,1,영업/정상,1,영업,,,,,,121.44,157-909,서울특별시 강서구 화곡동 903-10 3층,"서울특별시 강서구 곰달래로24길 27, 3층 (화곡동)",7778,수노래바,2025-04-30 9:12,U,02:00.0,룸살롱,186437.39,447472.6707,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2009-00002,2009-08-05,,1,영업/정상,1,영업,,,,,7081810041,86.8,157-909,서울특별시 강서구 화곡동 898-1 화곡 심포니 타워 2층 203호,"서울특별시 강서구 강서로 27, 화곡 심포니 타워 2층 203호 (화곡동)",7778,사거리 노래바,2025-09-08 10:06,U,01:00.0,룸살롱,186424.3917,447580.5448,,,,,,,,,,,,,,,,,,,
3010000,3010000-102-2004-00016,2004-11-12,,1,영업/정상,1,영업,,,,,222695901,93.6,100-300,서울특별시 중구 초동 70-4 (지상3층),"서울특별시 중구 마른내로 42 (초동,(지상3층))",4555,미녀,2025-11-06 11:37,U,08:00.0,기타,199263.8038,451326.7212,,,,,,,,,,,,,,,,,,,
3210000,3210000-102-1990-06487,1990-04-20,,1,영업/정상,1,영업,,,,,02592 5444,1019.25,137-856,"서울특별시 서초구 서초동 1308-4 실버타운오피스텔 지하중1층, 지하1","서울특별시 서초구 서초대로77길 45, 지하중1층, 지하1층 (서초동)",6612,토요일 토요일은 가요다,2025-03-12 16:48,U,04:00.0,고고(디스코)클럽,202123.7691,444374.6408,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2019-00004,2019-10-23,,1,영업/정상,1,영업,,,,,,87.48,157-910,서울특별시 강서구 화곡동 915-10 지하 1층,"서울특별시 강서구 강서로7길 67, 지하 1층 (화곡동)",7776,루비,2025-03-24 9:26,U,07:00.0,룸살롱,186140.5639,447451.0515,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2009-00002,2009-02-16,,1,영업/정상,1,영업,,,,,5666651,760.23,135-934,"서울특별시 강남구 역삼동 824-7 지하1층, 지상2층","서울특별시 강남구 테헤란로6길 10 (역삼동,지하1층, 지상2층)",6233,도깨비,2025-07-30 14:20,U,01:00.0,룸살롱,202621.0869,443960.2502,,,,,,,,,,,,,,,,,,,
